"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"499","legs",4,3.45,8,11,4,1,"Noun"
"500","less",4,3.75,8,18,3,1,"Adverb"
"501","lesson",6,3.22,2,6,4,2,"Noun"
"502","letter",6,3.62,6,26,4,2,"Noun"
"503","letters",7,3.28,2,12,5,2,"Noun"
"504","level",5,3.42,4,7,4,2,"Noun"
"505","license",7,3.21,0,0,5,2,"Noun"
"506","lied",4,3.35,7,40,3,1,"Verb"
"507","lies",4,3.28,9,34,3,1,"Noun"
"508","light",5,3.93,7,34,3,1,"Noun"
"509","lights",6,3.46,4,18,4,1,"Noun"
"510","liked",5,3.6,4,9,4,1,"Verb"
"511","likes",5,3.59,5,14,4,1,"Verb"
"512","lily",4,3.14,3,13,4,2,"Name"
"513","lines",5,3.29,16,23,4,1,"Noun"
"514","lips",4,3.2,7,11,4,1,"Noun"
"515","list",4,3.61,12,22,4,1,"Noun"
"516","lived",5,3.53,7,4,4,1,"Verb"
"517","lives",5,3.85,10,9,4,1,"Noun"
"518","living",6,3.9,6,6,5,2,"Verb"
"519","loan",4,3.01,7,31,3,1,"Noun"
"520","lock",4,3.46,15,29,3,1,"Verb"
"521","lonely",6,3.33,1,0,5,2,"Adjective"
"522","look",4,5,11,18,3,1,"Verb"
"523","lord",4,3.85,7,23,4,1,"Noun"
